"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2021","62,235.1","60,576.8","62,950.0","60,314.1","2.71B","2.75%"
"Oct 28, 2021","60,571.5","58,434.4","62,237.1","58,107.3","3.68B","3.66%"
"Oct 27, 2021","58,431.2","60,310.3","61,444.9","58,096.1","3.69B","-3.11%"
"Oct 26, 2021","60,307.7","63,077.7","63,272.5","59,916.5","2.49B","-4.37%"
"Oct 25, 2021","63,060.8","60,854.1","63,696.2","60,655.5","2.31B","3.60%"
"Oct 24, 2021","60,868.6","61,285.5","61,466.3","59,522.9","1.89B","-0.72%"
"Oct 23, 2021","61,310.8","60,688.7","61,730.0","59,733.4","1.69B","1.02%"
"Oct 22, 2021","60,690.3","62,202.4","63,700.5","60,068.1","3.23B","-2.42%"
"Oct 21, 2021","62,198.1","66,001.4","66,602.8","62,088.0","4.41B","-5.70%"
"Oct 20, 2021","65,961.0","64,268.4","66,973.6","63,540.1","3.36B","2.62%"
"Oct 19, 2021","64,275.5","62,008.4","64,449.4","61,431.7","3.37B","3.63%"
"Oct 18, 2021","62,024.4","61,528.3","62,625.7","60,053.2","3.20B","0.81%"
"Oct 17, 2021","61,526.0","60,875.8","61,660.0","59,156.7","2.37B","1.09%"
"Oct 16, 2021","60,860.9","61,720.0","62,332.9","60,160.3","2.17B","-1.30%"
"Oct 15, 2021","61,659.8","57,345.0","62,913.0","56,871.0","4.96B","7.53%"
"Oct 14, 2021","57,341.0","57,370.8","58,513.3","56,858.1","2.48B","-0.07%"
"Oct 13, 2021","57,382.6","56,002.9","57,697.8","54,320.0","3.12B","2.43%"
"Oct 12, 2021","56,022.4","57,425.8","57,644.3","54,172.7","3.02B","-2.53%"
"Oct 11, 2021","57,477.0","54,652.2","57,819.3","54,457.0","2.99B","5.10%"
"Oct 10, 2021","54,685.6","54,949.2","56,435.0","54,089.8","4.92B","-0.46%"
"Oct 09, 2021","54,939.0","53,947.8","55,429.2","53,704.9","3.02B","1.91%"
"Oct 08, 2021","53,911.2","53,787.1","55,955.4","53,653.4","2.52B","0.24%"
"Oct 07, 2021","53,779.8","55,311.1","55,311.1","53,491.2","2.98B","-2.78%"
"Oct 06, 2021","55,315.9","51,457.4","55,658.6","50,436.6","4.24B","7.50%"
"Oct 05, 2021","51,456.1","49,222.4","51,864.2","49,056.4","2.62B","4.53%"
"Oct 04, 2021","49,227.5","48,198.8","49,473.7","46,960.0","2.26B","2.16%"
"Oct 03, 2021","48,186.7","47,632.3","49,159.0","47,122.2","1.48B","1.09%"
"Oct 02, 2021","47,665.5","48,136.8","48,300.0","47,443.8","1.46B","-0.99%"
"Oct 01, 2021","48,141.1","43,816.2","48,430.8","43,289.3","3.08B","9.85%"
"Sep 30, 2021","43,822.5","41,541.1","44,102.0","41,414.1","2.01B","5.51%"
"Sep 29, 2021","41,535.6","41,019.7","42,561.1","40,817.0","1.40B","1.27%"
"Sep 28, 2021","41,016.6","42,140.3","42,755.1","40,902.0","1.82B","-2.73%"
"Sep 27, 2021","42,169.6","43,134.4","44,283.9","42,141.1","1.73B","-2.40%"
"Sep 26, 2021","43,205.0","42,670.6","43,903.5","40,772.4","2.12B","1.23%"
"Sep 25, 2021","42,678.9","42,804.8","42,948.1","41,659.4","1.43B","-0.29%"
"Sep 24, 2021","42,803.7","44,856.3","45,098.7","40,878.8","3.60B","-4.58%"
"Sep 23, 2021","44,856.3","43,543.6","44,938.7","43,081.6","2.15B","3.03%"
"Sep 22, 2021","43,536.1","40,781.5","43,968.3","40,581.0","2.48B","7.12%"
"Sep 21, 2021","40,643.8","43,014.0","43,620.6","39,644.1","3.55B","-5.41%"
"Sep 20, 2021","42,968.2","47,284.1","47,324.5","42,532.7","3.46B","-9.04%"
"Sep 19, 2021","47,236.5","48,294.4","48,338.6","46,865.5","1.42B","-2.21%"
"Sep 18, 2021","48,305.0","47,312.2","48,754.4","47,066.9","1.49B","2.17%"
"Sep 17, 2021","47,277.9","47,761.9","48,150.0","46,789.6","1.64B","-0.97%"
"Sep 16, 2021","47,740.0","48,152.4","48,476.2","47,034.2","1.95B","-0.80%"
"Sep 15, 2021","48,124.9","47,075.3","48,429.4","46,739.4","2.06B","2.24%"
"Sep 14, 2021","47,068.8","44,946.0","47,243.3","44,711.9","2.07B","4.73%"
"Sep 13, 2021","44,945.0","46,035.5","46,806.0","43,445.4","2.93B","-2.42%"
"Sep 12, 2021","46,060.3","45,158.1","46,385.6","44,750.0","1.46B","1.99%"
"Sep 11, 2021","45,160.0","44,877.0","45,977.1","44,746.1","1.38B","0.71%"
"Sep 10, 2021","44,841.9","46,391.5","47,019.5","44,280.5","2.24B","-3.32%"
"Sep 09, 2021","46,384.0","46,043.5","47,315.6","45,597.4","2.35B","0.72%"
"Sep 08, 2021","46,051.4","46,847.3","47,310.0","44,484.1","3.00B","-1.53%"
"Sep 07, 2021","46,768.0","52,666.2","52,880.0","43,066.4","5.99B","-11.20%"
"Sep 06, 2021","52,663.9","51,751.5","52,722.6","50,987.2","2.55B","1.74%"
"Sep 05, 2021","51,762.7","49,926.7","51,876.9","49,480.6","2.05B","3.71%"
"Sep 04, 2021","49,913.0","49,977.5","50,529.0","49,437.0","1.73B","-0.16%"
"Sep 03, 2021","49,990.7","49,245.1","51,000.0","48,351.0","2.95B","1.47%"
"Sep 02, 2021","49,264.9","48,784.1","50,351.1","48,600.3","2.71B","0.94%"
"Sep 01, 2021","48,807.6","47,090.7","49,150.0","46,521.4","2.39B","3.56%"
"Aug 31, 2021","47,130.4","46,929.0","48,211.6","46,700.4","2.30B","0.30%"
"Aug 30, 2021","46,989.7","48,737.3","48,877.9","46,872.2","1.93B","-3.65%"
"Aug 29, 2021","48,767.8","48,904.2","49,613.9","47,820.2","1.59B","-0.25%"
"Aug 28, 2021","48,888.2","49,068.0","49,284.0","48,411.1","1.30B","-0.34%"
"Aug 27, 2021","49,054.1","46,839.6","49,135.2","46,371.0","2.01B","4.76%"
"Aug 26, 2021","46,823.9","48,977.2","49,344.5","46,365.0","2.33B","-4.43%"
"Aug 25, 2021","48,995.5","47,666.9","49,227.8","47,162.2","2.15B","2.69%"
"Aug 24, 2021","47,711.0","49,459.9","49,843.5","47,609.9","2.49B","-3.69%"
"Aug 23, 2021","49,538.0","49,248.4","50,496.1","49,031.0","2.62B","0.59%"
"Aug 22, 2021","49,246.4","48,809.2","49,473.4","48,148.0","1.81B","0.85%"
"Aug 21, 2021","48,830.0","49,323.6","49,699.6","48,271.4","2.29B","-0.98%"
"Aug 20, 2021","49,315.7","46,760.4","49,334.8","46,644.4","2.72B","5.48%"
"Aug 19, 2021","46,752.5","44,758.6","47,000.0","43,980.8","2.42B","4.62%"
"Aug 18, 2021","44,686.2","44,681.5","45,997.7","44,222.1","2.44B","-0.01%"
"Aug 17, 2021","44,692.5","45,901.7","47,135.5","44,431.1","2.62B","-2.69%"
"Aug 16, 2021","45,926.0","47,014.0","48,000.0","45,667.2","2.46B","-2.24%"
"Aug 15, 2021","46,979.7","47,092.2","47,337.8","45,558.5","1.95B","-0.20%"
"Aug 14, 2021","47,074.4","47,813.8","48,083.9","46,032.2","2.17B","-1.51%"
"Aug 13, 2021","47,794.5","44,416.8","47,821.3","44,234.2","2.24B","7.65%"
"Aug 12, 2021","44,396.0","45,508.4","46,213.9","43,814.9","2.48B","-2.56%"
"Aug 11, 2021","45,561.3","45,581.2","46,726.5","45,347.2","2.43B","-0.06%"
"Aug 10, 2021","45,588.2","46,293.4","46,658.2","44,674.8","2.45B","-1.49%"
"Aug 09, 2021","46,278.4","43,814.4","46,453.1","42,823.3","3.36B","5.71%"
"Aug 08, 2021","43,780.0","44,572.5","45,277.6","43,315.0","3.07B","-1.87%"
"Aug 07, 2021","44,615.9","42,834.7","44,684.2","42,525.0","3.20B","4.30%"
"Aug 06, 2021","42,775.3","40,863.1","43,348.9","39,900.4","3.15B","4.69%"
"Aug 05, 2021","40,857.3","39,746.1","41,348.6","37,367.7","3.31B","2.82%"
"Aug 04, 2021","39,737.0","38,210.0","39,960.5","37,560.6","2.03B","4.06%"
"Aug 03, 2021","38,186.3","39,136.2","39,764.4","37,663.8","2.20B","-2.51%"
"Aug 02, 2021","39,170.6","39,850.9","40,457.7","38,691.0","2.01B","-1.74%"
"Aug 01, 2021","39,862.9","41,461.8","42,566.6","39,544.6","2.23B","-4.07%"
"Jul 31, 2021","41,553.7","42,332.7","42,332.7","41,063.6","1.87B","-1.53%"
"Jul 30, 2021","42,198.7","40,023.5","42,257.1","38,353.7","2.94B","5.53%"
"Jul 29, 2021","39,988.9","39,977.2","40,628.8","39,339.8","2.15B","-0.03%"
"Jul 28, 2021","40,001.3","39,445.5","40,854.5","38,856.2","4.04B","1.40%"
"Jul 27, 2021","39,448.5","37,239.5","39,448.5","36,421.2","3.34B","5.83%"
"Jul 26, 2021","37,275.0","35,399.0","40,518.0","35,226.8","5.83B","5.35%"
